"plate","BG_activity","Cello_activity","NAG_activity","P_activity"
"test_2006",49.6746701257213,5.89292770043223,17.1303763917743,294.533686154032
"test_2008",49.3652920792183,7.04854219290048,14.9173947807658,337.956507975878
"test_2014",69.8255814764028,5.67169449074101,15.9199593547875,300.635957590768
"test_2016",116.035049296763,7.55353962244582,21.4349014156263,383.942091513945
"test_2022",79.4087870232357,9.99608313427532,26.7994312239336,421.643372064312
"test_2024",103.50219622004,13.0120245872734,29.5269350834191,496.823639420434
"test_2050",27.5781057686675,4.19745405621668,12.8505369780446,313.55085529778
"test_2051",32.9355091310393,5.89461074230723,15.1502449865491,391.386917767993
"test_2082",33.6505744717608,4.27912836367792,9.45421583504115,373.088989666889
"test_2083",47.9759192416468,3.94680173960364,17.1802841019677,298.59304606707
"test_2090",41.6373827593644,3.89559337207267,10.3218913211036,214.607115747659
"test_2092",63.0727318193242,6.40441314272164,15.4507971369901,321.794797333914
